,Time in 's',Images
0,0,"DJI_0010.JPG,DJI_0011.JPG,DJI_0012.JPG,DJI_0013.JPG"
1,1,"DJI_0047.JPG,DJI_0048.JPG,DJI_0055.JPG,DJI_0056.JPG,DJI_0057.JPG,DJI_0094.JPG,DJI_0095.JPG,DJI_0096.JPG"
2,2,"DJI_0093.JPG,DJI_0094.JPG,DJI_0095.JPG,DJI_0096.JPG,DJI_0106.JPG,DJI_0107.JPG,DJI_0108.JPG"
3,3,"DJI_0107.JPG,DJI_0108.JPG,DJI_0109.JPG,DJI_0110.JPG,DJI_0144.JPG,DJI_0145.JPG,DJI_0146.JPG,DJI_0147.JPG"
4,4,"DJI_0145.JPG,DJI_0146.JPG,DJI_0147.JPG,DJI_0160.JPG,DJI_0161.JPG,DJI_0162.JPG,DJI_0163.JPG,DJI_0199.JPG"
5,5,"DJI_0199.JPG,DJI_0200.JPG,DJI_0201.JPG,DJI_0202.JPG,DJI_0212.JPG,DJI_0213.JPG,DJI_0214.JPG"
6,6,"DJI_0254.JPG,DJI_0255.JPG,DJI_0263.JPG,DJI_0264.JPG,DJI_0265.JPG,DJI_0266.JPG,DJI_0267.JPG,DJI_0310.JPG,DJI_0311.JPG,DJI_0312.JPG"
7,7,"DJI_0380.JPG,DJI_0381.JPG,DJI_0431.JPG,DJI_0432.JPG,DJI_0433.JPG,DJI_0434.JPG,DJI_0442.JPG,DJI_0443.JPG,DJI_0444.JPG"
8,8,"DJI_0519.JPG,DJI_0555.JPG,DJI_0556.JPG,DJI_0557.JPG,DJI_0558.JPG,DJI_0559.JPG,DJI_0591.JPG,DJI_0592.JPG,DJI_0593.JPG"
9,9,"DJI_0478.JPG,DJI_0479.JPG,DJI_0524.JPG,DJI_0525.JPG,DJI_0526.JPG,DJI_0527.JPG,DJI_0540.JPG,DJI_0549.JPG,DJI_0550.JPG,DJI_0551.JPG"
10,10,"DJI_0412.JPG,DJI_0413.JPG,DJI_0414.JPG,DJI_0415.JPG,DJI_0416.JPG,DJI_0461.JPG,DJI_0462.JPG,DJI_0463.JPG"
11,11,"DJI_0278.JPG,DJI_0279.JPG,DJI_0295.JPG,DJI_0296.JPG,DJI_0297.JPG,DJI_0298.JPG,DJI_0336.JPG,DJI_0337.JPG"
12,12,"DJI_0240.JPG,DJI_0241.JPG,DJI_0242.JPG,DJI_0276.JPG,DJI_0277.JPG,DJI_0278.JPG,DJI_0279.JPG"
13,13,"DJI_0224.JPG,DJI_0225.JPG,DJI_0226.JPG,DJI_0227.JPG,DJI_0240.JPG,DJI_0241.JPG,DJI_0242.JPG,DJI_0243.JPG"
14,14,"DJI_0173.JPG,DJI_0174.JPG,DJI_0185.JPG,DJI_0186.JPG,DJI_0187.JPG,DJI_0188.JPG,DJI_0226.JPG,DJI_0227.JPG"
15,15,"DJI_0175.JPG,DJI_0176.JPG,DJI_0177.JPG,DJI_0178.JPG,DJI_0182.JPG,DJI_0183.JPG,DJI_0184.JPG,DJI_0185.JPG"
16,16,DJI_0181.JPG
