,Time in 's',Latitude,Longitude
0,0,19.149798647687,73.00135763743417
1,1,19.15045320983492,73.00132489350985
2,2,19.15078202864481,73.00148134978508
3,3,19.15111018236003,73.00172944741077
4,4,19.15147149707222,73.00171457575738
5,5,19.15187330309565,73.00156440967349
6,6,19.15257115687138,73.00138632370391
7,7,19.15393596109965,73.00124152511798
8,8,19.15499464007625,73.00304895959138
9,9,19.15472301733992,73.00409920972069
10,10,19.15396035168237,73.00415722991562
11,11,19.1528316414918,73.00361517516627
12,12,19.15251053566632,73.00355105973519
13,13,19.15210945447706,73.00352277594513
14,14,19.15174863012053,73.00367123064356
15,15,19.15168231548071,73.00413739314382
16,16,19.15174602113504,73.00484203064553
